corpus,label
sản_phẩm đẹp đôi_lúc bị mất tiếng nhưng với tầm_giá như này thì oke rồi tốt,2
,2
sạt nhanh khít thiết_bị hài_lòng,2
chất_lượng xứng_đáng với giá tiền,2
ngon_lành,2
,2
sản_phẩm rất tốt anh_em lưu_ý nên xịt vào khăn trước rồi hãy lau nhé tránh xịt trực_tiếp vào máy hay bàn_phím để tránh bị hỏng,2
không được nét lắm mic kém chất_lượng,1
,2
mình muốn trả lại sản_phẩm sản_phẩm giao không đúng với đặt_hàng khá nhỏ hơn với thực_tế có_thể là dùng cho sản_phẩm 5 8,0
,2
chuẩn dvi to hdmi,2
,2
,2
,2
thiếu 1 cái bít_tai mở túi ra coa 5 cái thiếu 1 cái vừa tai mình chất_lượng âm_thanh ở tầm_giá này cũng tạm,2
,2
sạc nhanh tương_thích ipad iphone sạc nhanh hơn củ của aple,2
,2
không đẹp như quảng_cáo,1
chưa kết_nối được với hdmi,2
,2
sản_phẩm tốt hàng đúng chất_lượng authentic,2
đóng_gói cẩn_thận giao nhanh giá tốt đáp_ứng nhu_cầu cơ_bản và đúng nhu_cấu cá_nhân là kua về để họp msteam zom trên laptop,2
,2
,2
đồ xịn nhưng đóng_gói hơi chán may_mà bên chuyển phát họ ko_quang quật chứ ko chắc gẫy cái bàn_phím mất chẳng_bọc gì cả,1
,2
gọn đẹp dễ_thương để dùng 1 thời_gian coi sao,2
,2
,2
,2
chất_lượng tốt,2
dây sạc xài rất tốt sản_phẩm của anker nên rất yên_tâm về chất_lượng,2
,2
có khung rất dễ dán mặt kính_vuốt rất mượt_ngăn bám bụi tốt,2
rất ưng_ý,2
,2
giao hàng nhanh thẻ nhìn có_vẻ còn chờ time xem có bền không,1
chính hãng,2
ok,2
mới dùng thử 1 ngày thấy chất_lượng ok phù_hợp với giá hàng đóng_gói cẩn_thận không biết shop ở đâu mà thời_gian chuyển hàng ra hà_nội mất hơn 1 tuần lúc mua không để_ý thời_gian giao hàng,2
,2
chất_lượng ok,2
,2
,2
,2
giao hàng đúng với mô_tả quảng_cáo từ shop sản_phẩm kết_nối rất ổn_định nghe nhạc ấm êm_tai gọi điện to rõ_ràng chất_âm tốt chống ồn_tốt thiết_kế đẹp màu_sắc khá sắc_nét đóng_gói cẩn_thận và giao hàng nhanh sp có độ hoàn_thiện cao chất_lượng tốt mua từ gian_hàng chính hãng firo nên luôn yên_tâm về chất_lượng cũng như dịch_vụ hẫu mãi từ hãng,2
,2
không hộp không biết chính hãng không nữa được so với tầm giá nên không đòi_hỏi hơn,2
dây tốt đã mua sợi này là sợi thứ 4 đúng hàng xiaomi,2
nhỏ gọn nhưng gắn ko khít lắm,2
ok sản_phẩm tốt,2
ủa cái gì đây đặt cái đầu chuyển usb mà giao cái gì đây trời làm_ăn kiểu gì thế_này trời đợi hàng 1 tháng trời mà cái gì thế_này,0
ngoại_hình đúng đẹp chất_lượng đúng kết_nối nhanh,2
chọn mãi cũng được cây này các bạn ạ đóng_gói giao của tiki thì khỏi bàn rồi hộp lần nào cũng đựng được cả cuốn từ_điển mà về sản_phẩm thì dài cầm vừa tay nút bấm khá ok không nghe tiếng khi bấm tuy_nhiên về cách sắp_xếp nút thì của logitech là thuận_tiện hơn còn cách xếp 4 nút thẳng hàng thì khi đổi nút phải nhìn nếu bạn chưa quen_hình này là lần đầu mình dùng trong bài thuyết_trình của mình đầu_tư xứng_đáng tóm_lại •_thiết_kế đẹp sang_trọng cảm_nhận chắc_chắn 9 d • hiệu_quả phải làm_quen để không cần nhìn 7 d • giá ok •_độ bền chưa đánh_giá có túi đựng đi kèm rất đẹp nhé,2
,2
shop toẹt dzời,2
,2
,2
sim mua sử_dụng 1 năm mà xài chưa được 2 tháng đã bị mat kết_nối không xài được nữa,0
,2
ok,2
cục sạc chính hãng cực chắn chắn nha chân cắm chỉ tương_thích với sạc dòng từ 11 trở lên thôi mọi ng ạ nó ko phải chân_usb như thường mua sale còn 371 k quá ok rẻ hơn ngoài tgđd nhiều,2
ok hàng đúng,2
,2
sạc ổn_nha quí_vị giá lại rẻ nữa có 2 lỗ để cắm 2 cáp 1 lúc nếu cần,2
,2
,2
,2
,2
dùng khá tốt so với giá_cả,2
,2
đóng_gói đồ cẩn_thận rất ưng_ý nhưng sản_phẩm ko được như mong_đợi,1
,2
ok,2
,2
,2
tai nghe k có cảm_ứng giám_xâm_lol đúng là shop buôn_bán k đúng mô_tả và video chán,0
hàng giao nhanh chất_lượng giá hợp_lý xài sướng,2
,2
,2
cực_kì hài_lòng giao hàng nhanh đúng sản_phẩm ok,2
,2
,2
,2
mình luôn mua cường_lực ở shop này chất_lượng tuyệt_vời giá_cả rẻ,2
hang dep trong tam_gia,2
xài tốt kết_nối mượt,2
quá ngon,2
dùng được nếu ko quá đòi_hỏi trong mức giá này giao hàng nhanh đóng_gói tốt,1
,2
hàng ko dùng đc mn người đừng để bị,0
,2
,2
chất_lượng ok đã sài hơn 2 tháng ổn lắm,2
chất_lượng ổn so với giá_thành giao hàng hơi lâu 8 ngày dù ở hà_nội,2
,2
tai nghe lúc nhận đóng_gói cẩn_thận vỏ hộp còn nguyên siu_lun nghe cũng đc_ok lắm shop,2
,2
,2
dùng được hy_vọng lưu dữ_liệu đảm_bảo,2
đang sử_dụng nên chưa_thể đánh_giá chất_lượng,2
,2
god,2
thấy mọi người đánh_giá tốt nên mua cái của nợ này về tai nghe không có chỉnh âm_lượng không có tạm dừng đeo thì đau cả tai nghe nhạc thì gần như hoàn_toàn không có tiếng trống cũng tầm_giá này trước mua 1 cái của xiaomi mà ngon hơn gấp vạn lần,0
mình mua cho phòng mình sử_dụng rất ổn tín_hiệu tốt không bị gián_đoạn màu hồng nên các vết dính mẹc dễ thấy hơn màu đen,2
,2
,2
,2
,2
,2
ok,2
,2
pin sạc nhưng xài được khá lâu_đồ sạc chính hãng an_toàn tự_ngắt khi ful pin,2
,2
đầu dắc cắm vào máy sạc hơi nóng một_tí,2
ko giống trong hình mà sài cũng đc,1
,2
pin tai nghe quá ảo vừa sạc đầy bỏ ra xong cho vô lại sạc luôn từ đầu thêm 2 bên tai nghe ko_thể ghép đôi dùng đt nó cứ tách thành 2 bên riêng_biệt nên ko_thể nghe cả 2 tai khó_chịu thật_sự,0
,2
,2
,2
chạy êm_đèn xịn xò vật_liệu kim_loại chắc_chắn,2
mình mua đầu tháng 2 2022 sử_dụng ổn nhưng đến tháng 3 thì chuột phải không ăn_lệnh ghõ mình đang liên_hệ shop để bảo_hành hoặc đổi 1 1 không biết shop sử_dụng như_thế_nào,0
tôt,2
dùng ổn ấn_tượng tốt,2
,2
,2
,2
,2
,2
,2
giá tốt đóng_gói cẩn_thận sản_phẩm ok chất_lượng phải đợi thêm thời_gian sử_dụng,2
,2
,2
tốt,2
,2
rất đẹp bo_góc êm không quá dày hay mỏng cầm_chắc tay sang_trọng,2
xịn xò xài suông_sẻ,2
,2
m,2
chất_lượng âm_thanh tốt vừa giá tiền kết_nối ổn_định mình xài được hơn 1 tháng mới review nhưng cầm_hơi mỏng và không được chắc_chắn nhưng mình chỉ quan_tâm chất_lượng âm_thanh nên vẫn đánh_giá cao sản_phẩm,2
,2
tối có đặt_hàng 1 tay cầm f310 và thanh_toán lần đầu bằng pay phần thanh_toán có ghi miễn_phí tikinow cho lần đầu thanh_toán nhưng tôi ko hề được trừ 29 k tiền ship ship tại nội_thành hà_nội khá bức_xúc khi phải rút_tiền hai lần mất phí rút_tiền từ ví_mo sang vì sản_phẩm tốt nên vẫn cho 5 sao nhưng cần đk ad giải_đáp,2
tốt,2
,2
sản_phẩm rất tốt âm_thanh tốt kết_nối nhanh hàng chính hãng rất đáng tiền để mua em ý,2
tạm dùng được ko dep lắm,1
hơi nhỏ,2
chuột bấm khá êm_nhạy kết_nối nhanh đúng như hình_ảnh mô_tả,2
nhét vào tai_êm hơn cái xiaomi buds 5 mình đang có âm_bas ổn nhưng mấy sợi cắm day_jbl có_vẻ tốt cũng ko_kém mà rẻ hơn ai ko cần gọn_gàng chỉ cần âm_thanh thi theo mình dây vẫn tốt nhất thạm_chí còn hơn cái airnpod 3 ng nhà mình đang sait,2
,2
,2
sản_phẩm tốt chất_lượng 5 sao,2
,2
hình_minh họa sạc nhanh tốt,2
hàng hóa gì mới xài được hai ba hôm hư rồi gạt,0
thấy sợi dây của tai nghe mỏng vậy_mà nó chắc thật,2
,2
,2
sản_phẩm chất_lượng,2
có tem phụ nhập_khẩu hàng chính_ngạch đàng_hoàng giá lại rẻ hơn tgdđ tiki trading rất uy_tín giao hàng đúng hẹn rất hài_lòng,2
dễ sử_dụng chuột tốt lắm nhe mọi người,2
,2
,2
cáp sạc mấy đợt trước mua xài được hơn năm mà đợt này mình mua dùng k bền_sạc được hơn 1 tháng là hư rồi,1
hàng đẹp không bị hư_hỏng gì đóng_gói cẩn_thận giao hàng nhanh giá tốt,2
,2
tại_sao tôi lại không_thể sử_dụng được,0
,2
chuột khá ok màu sơn_mờ nhìn sang các nút chuột khá nẩy và nhạy con_lăn nhẹ thế cầm ổn tuy_nhiên con của mình nó bị hư nút dpi 2 chổ màu sơn hơi lỗi nhưng vẫn chấp_nhận được nói_chung 150 k mà cũng không đòi_hỏi gì nhiều được mua được các bạn nhé,2
,2
,2
cho mình hỏi khi sạc thì có cần lấy tai nghe ra khỏi dock không ạ sản_phẩm được đóng_gói rất tỉ_mỉ,2
,2
,2
,2
hộp quá đẹp kính đang sài khá là ok,2
god,2
,2
,2
,2
,2
,2
,2
kiểm_tra xem tại_sao mới mua mà bảo_hành còn có 5 tháng,0
xinh,2
nhận hàng thấy sản_phẩm hơi bị móp lưới quạt,2
giao hàng nhanh đóng_gói rất kỹ_sp đẹp,2
,2
phím hoạt_động ko ổn_định phím space lúc được lúc ko các ký tự đặc_biệt ko gõ được shop_đổi cho mình sp khác nhé,1
,2
chào shop mình cần hàng gấp nên đặt tiki now shop giao đúng hẹn nhưng thiếu mất chuột mình đặt cả bàn_phím và chuột sau khi nhận hàng 5 mình đã gọi lại shiper và tổng_đài để hỗ_trợ có hẹn 24 h nhưng giờ mình liên_hệ lại nói trong 48 h quan_trọng có ai xác_nhận cho mình là đóng thiếu hàng dùm cái nhé,0
,2
giao nhanh hơn mình nghĩ tưởng đặt_lộn đặt lại làm mua thêm 1 ốp nữa thành 2 thanks,2
sạc xịn nhanh nha,2
,2
dùng được cái trước dùng được 2 5 năm thì liệt vài phím chắc do kiến_chui vào cái này cái thứ 2,2
,2
,2
,2
dùng tốt lắm,2
sản_phẩm tốt đúng dung_lượng ok,2
,2
sản_phẩm tốt dây chắc_chắn chống rối_chất nhạc hay giao hàng nhanh,2
,2
sp đóng gois đẹp,2
hàng chính hãng chất_lượng giao hàng nhanh,2
,2
tôi chưa nhận đc sản_phẩm này,0
,2
tính_năng đúng như mô_tả,2
,2
hàng vừa ý đẹp sử_dụng ổn,2
chuột đẹp di_chuyển nhẹ_nhàng,2
sr shop nhé tại mình thử game k hỗ_trợ cho tay nên hơi hiểu lầm shop_xíu nhé,2
,2
,2
bàn_phím rất tốt nên mua,2
tối,2
,2
,2
,2
,2
mình dùng chưa dc 1 tháng thì tai nghe đã hỏng một bên ko nghe gì dù bên ngoài bình_thường ngoại_hình đẹp nhưng âm_thanh khá đục đặc_biệt là không_thể kết_nối với macbok m1,2
vì tôi thích nghe nhạc,2
sử_dụng tốt cho quạt senko hàng mới,2
,2
,2
không dùng được cho iphone,2
sản_phẩm tốt tuy_nhiên đặt nhầm size l có bạn nào muốn đổi thì liên_hệ sđt nhé,2
,2
xài ok,2
,2
rất nhẵn_mượt và độ bán bàn tốt,2
nhãn_hiệu và hình_thức ko đẹp như hình_ảnh sản_phẩm chào_bán nhưng hoạt_động ổn_định,2
mình đc giao hàng miễn_phí thanh_toán bằng thẻ_tín_dụng sacom visa nên đc giảm thêm 10 thử vs thẻ nhớ thì thấy ok,2
shop kiểm_tra lại mua 2 món giao hàng có 1 món bị thiếu 1 món 1 bên tai cứ nháy liên_tục ko kết_nối được,0
bàn_phím chạy ngon có thêm miếng phủ nữa thì tuyệt,2
,2
nghe rõ mic tốt gọn_nhẹ,2
,2
kính nhìn không trong nhìn ko thật,0
tốt,2
,2
ngon_lành cành đào nhe,2
chuột xài thử khác tốt đèn sáng đẹp dây sạc tốt đang trải_nghiệm chưa biết độ_bền ra sao,2
,2
,2
sản_phẩm rẻ tốt chắc_chắn kết_nối nhanh ngoại_hình khá đẹp và chắc_chắn hàng chính hãng sử_dụng rất tốt,2
,2
khá ổn cho việc truyền file từ điện_thoại vào laptop với tầm giá này của remax 5 sao,2
chuột êm,2
,2
ok,2
,2
nên dùng,2
,2
,2
âm_thanh đỉnh lắm ạ cách âm_vô_cùng tốt luôn giao hàng siêu nhanh 2 ngày là nhận được rồi á tha_hồ phêu_nhạc mình recomend mạnh cho những_ai muốn cảm_nhận âm_nhạc chân_thật muốn có không_gian cho riêng mình ở những nơi ồn_ào mình gỡ ap rồi nhưng tai nghe quá đỉnh không kìm_lòng được mà tải về đánh_giá ngay luôn í lúc đầu cũng phân_vân chọn on ear với over ear nhưng cứ thử in ear xem sao và kết_quả là thật_sự đỉnh của đỉnh ạ,2
,2
,2
,2
,2
mẫu_mã đẹp không biết có bền hay không để thời_gian xem,2
,2
sạc nhanh nhỏ gọn_độ bền cần thời_gian kiểm_chứng,2
,2
,2
giao hàng nhanh hàng như mô_tả,2
tốt,2
sản_phẩm vượt ngoài mong_đợi ngoài_ra còn hổ_trợ cả chức_năng sport và khả_năng tinh_chỉnh nút bằng phần_mềm của logitech nữa quá thơm rồi cứ cấm vô là dùng cho những bạn không chuyên thôi rất là ez hàng của tiki_trading thì khỏi lo chất_lượng điểm trừ nhỏ cách là phím điều hướng hơi lồi để dễ thao_tác một_cách nhẹ_nhàng và nút lb và rb_k đã tay lắm vì ấn cứ kêu click như các sản_phẩm thời trước lt và rt thì hơi nặng tay bạn nào sài tay cầm ps chắc sẽ không quen lắm nhìn_chung thì đây là một sản_phẩm xứng_đáng với 400 k mình bỏ ra v,2
,2
,2
tai nghe âm_thanh siêu hay bas phê,2
giá tốt hàng chuẩn,2
khá ok,2
,2
,2
tạm,2
,2
rất hài_lòng giao nhanh đóng_gói kĩ_hàng dung chắc_chắn,2
,2
chất_lượng ok chỉ là đang dùnh con_nhỏ nên chuyển qua con này thấy hơi to nên tôi cầm chưa quen tay,2
,2
,2
,2
,2
mượt êm đẹp,2
,2
,2
hài_lòng với sp và hỗ_trợ của tiki,2
,2
,2
chuột dùng rất thích cầm_chắc tay nhưng sau 2 tháng chuột tự_dưng hỏng,1
,2
do dịch_bệnh nên giao hàng hơi lâu và có_thể thông_cảm đóng_gói kỹ nhưng hộp bên ngoài lại bị nhàu_nát chất_lượng chuột tốt click êm và nảy có phần_mềm chỉnh_dpi và đèn led đa_dạng nên mua,2
shop giao đúng mẫu giao hàng nhanh sản_phẩm khá ok giá rẻ phù_hợp với mấy bé,2
à bàn_phìm này tối_đa 2 phím cùng lúc lúc mua không để_ý bạn nào mua về chơi game cân_nhắc nhé,0
,2
,2
hàng đúng nhue mô_tả chất_lượng sp hoàn_thiện tốt,2
sai màu nhắn_tin cho shop mà không có phản_hồi,0
,2
sản_phẩm rất tốt màu_sắc_đẹp,2
đẹp và dễ_thương hơn tui tưởng bấm êm vô_cùng,2
di_chuột mượt nhạy_phím bấm êm_nhẹ giao hàng nhanh úy_tín chất_lượng đáng mua đáng tiền,2
,2
mỏng_manh nhưng âm_thanh tốt,2
khá tốt rất hay,2
,2
,2
,2
,2
,2
không đúng loại mình cần chịu,0
,2
dùng ok nha,2
,2
màn_hình tai nghe ko lên bên phải ko nghe đc tệ,0
tay nghe bị lỗi_mic rất mong_tiki giải_quyết giúp,0
,2
,2
,2
,2
chất_lượng cũng tạm ổn,2
sp tốt phù_hợp cắm máy_tính truyền dữ_liệu tốt_ko phù_hợp chuyển_đổi tren xe_hơi vì quá dài dễ gãy,2
chưa biết về sau dùng ra sao nhưng trừ điểm ông shiper ship muộn nhá ship_muộn làm tôi bị mang_tiếng “ khách_hàng hẹn giao ngày khác ” rồi định_ship thêm cái nữa thì chớt toy,2
,2
,2
ok,2
âm_êm pas mạnh đủ linh_kiện nhưng tội chọn màu đỏ mà lài gửi màu đen,2
chất_lượng tuyệt_vời sạc nhanh đánh_giá 5 sao,2
sản_phẩm chất_lượng,2
,2
pin trâu dùng ok mỗi tội nghe hơi bé,2
mình nhận dc sản_phẩm là hàng cũ đã qua sử_dụng có vết xước và vết bẩn,0
,2
,2
,2
,2
con mình gần tới ngày đi học mua để theo_dõi con vơi lại gọi khi con ra khỏi nhà_sản_phẩm rất chất_lượng nha_shop hỗ_trợ rất nhanh cho shop 5 ạ sẽ ủng_hộ shop tiếp ạ,2
,2
,2
giao hàng nhanh mỗi tội ko dùng được sim vietel mà shop ko ghi_chú rõ hic,2
đặt iphone 11 6 1 giao cái pro max tiki còn đỗ lỗi do khách_hàng chọn nhầm_sản phâm sợ luôn,0
gõ nhanh mượt,2
,2
,2
mình chỉ dùng cho họp_hành nên thấy rất vừa ý_tai nghe đeo lâu không bị đau chất_lượng âm_thanh và lọc tiếng ồn rất tốt bất_tiện duy_nhất là mang đi hơi cồng_kềnh,2
very god,2
ok,2
chuột đẹp sài êm có_điều bên đóng_gói hàng_không kỹ không cẩn_thận bọc đàng_hoàng để tránh hư_hỏng trong quá_trình vận_chuyển vẫn may_chuột vẫn không bị hư_hỏng gì,2
mạng quá yếu 4 g chạy không nỗi,0
cực_kỳ hài_lòng sản_phẩm có chất_lượng đúng như mô_tả đóng_gói chắc_chắn rất đáng tiền giao hàng nhanh p s không có thời_gian chụp hình nên mình lấy đỡ_hình trên mạng up,2
bàn_phím thương_hiệu nổi_tiếng và giá_thành quá rẻ bàn_phím lớn và gõ rất êm tôi đã mua 2 cái,2
,2
,2
kết_nối dễ_dàng nhạy giao hàng nhanh đúng hẹn,2
ok tốt,2
,2
chuột êm vừa tay nhạy nhưng sử_dụng lâu thì hơi nóng tay nha,2
,2
hàng đúng mẫu giao hàng nhanh,2
vừa vặn chống sốc kiểu_dáng ok,2
ok,2
,2
sản_phẩm tốt dây dù chắc_chắn,2
,2
chất_lượng âm_thanh tốt so với tầm_giá chức_năng cảm_ứng hơi khó dùng chắc đó chưa quen,2
giao hàng nhanh dù cận tết hàng của tiki_trading thì chất_lượng yên_tâm rồi vote 5 sao,2
đã nhận hàng chưa thử đóng_gói cẩn_thận,2
sản_phẩm rất chất_lượng,2
,2
kiểu_dáng nhỏ gọn sạc nhanh ko nóng hài long,2
,2
,2
,2
,2
,2
,2
,2
,2
ko kết_nối đc với wf 1000 xm3 trên máy_tính t t,0
,2
,2
,2
hàng đẹp giao hàng nhanh hơn dự_kiến nhiều vote 5 sao cho tiki và shop,2
,2
âm_thanh ổn chống ồn_tai mình nhỏ may_mà vẫn có khuôn vừa pin lâu mới dùng thấy khá ổn tuy vẫn chưa xài hết các tính_năng khác,2
,2
,2
,2
sản_phẩm rất tốt vợ mình rất vui mình mua cam để phục_vụ việt học online cho vợ hình_ảnh đẹp rỏ né hàng giao đống gói_kỉ càn,2
,2
tốt,2
đúng hàng real nhận phần_mềm lghug dùng rất nhạy có_điều hơi nhỏ tay to dùng chuột to quen rồi,2
,2
,2
,2
shop giao không đúng đặt 1 m 3 a mà shop giao 2 m 2 a_nhắn tin shop mà sen không rep không có thiện_ý với khách_hàng,0
,2
,2
,2
,2
,2
,2
,2
bin dùng được 3 ngày giá rẻ mà chất_lượng nên mua,2
sản phấm đúng mô_tả chất_lượng rất tốt tiện_dụng nên mua thanks,2
on,2
,2
,2
mình mua case cho ipad pro 11 inch mà shop giao cái case gì mà che hết nửa số camera của mình rồi trải_nghiệm thất_vọng từ ngay lần đầu_tiên mua hàng ở tiki,1
màu đẹp ạ hộp to lắm nghe ok lắm nha chưa sử_dụng trong tgian dài nhưng mình nghĩ pin nó ok rcm sp nì,2
,2
chuột đẹp chỉ là thay_vì logo thì để chữ hơi xấu còn lại thì ok mua tiki trading luôn tuyệt_vời,2
i am_surprised by the quality for this price nice_box and_the seler packs it carefuly the keyboard is much_smother and_more silent than the one i usualy use the mouse click is quite noisy though so be aware of that also the mouse doesn t have extra butons for macro etc,2
hình_thức ổn di_chuột êm bấm tốt,2
chuột có màu hồng_nhạt nhỏ gọn xinh_xắn khi click ko có tiếng phát ra mình đã dùng 1 thời_gian thấy chất_lượng ổn,2
,2
bền đẹp,2
shop đóng_gói cẩn_thận chống nước tốt_hơi khó lấy điên_thoại ra khỏi bao,2
hàng ok,2
,2
,2
,2
,2
đã nhận và trải_nghiệm tuyệt_vời mang vào thật_sự không còn nghe bất_kỳ âm_thanh nào bên ngoài một sản_phẩm đang sở_hữu,2
tốt,2
chuột nguyên_zin giao hàng nhanh nhân_viên giao hàng cũng nhiệt_tình chuột dùng tốt so với tầm giá tải thêm ap của hãng có thêm nhiều tùy_biến hơn,2
,1
chất_lượng cáp ở mức ok sạc thấy cũng ok,2
giao nhanh giá rẻ đúng như quảng_cáo tuy_nhiên do sóng_mạng vietnamobile hơi yếu ở ngoài_trời thì chạy tốt trong nhà khá chậm,2
,2
tốt,2
,2
,2
,2
mình mua để gắn vào camera thẻ dung_lượng lớn lưu_trữ được nhiều giao hàng nhanh nguyên_seal đúng mẫu sẽ tiếp_tục ủng_hộ tiki,2
hàng chất_lượng giao nhanh đúng sản_phẩm đăng_ký,2
,2
gói cẩn_thận ghi vài dòng cảm_ơn chưa bỏ pin vào thử nhưng người bán đã chứng_minh dc họ bán có tâm rồi 5 nhé,2
tuyệt_vời,2
màu đẹp,2
chuột xài ngon chất_liệu tốt kết_nối ổn_định tùy_chỉnh dc nút bấm phụ bằng phần_mềm logi option ko cần mua con mx master 3 đắt gấp 3 làm gì cả,2
không hiểu sao đầu dây_sạc rất nóng mình thường hay để sạc sẵn khi nào cần là cắm mà mỗi lần cầm vào nó khá nóng,0
,2
ok,2
,2
,2
thẻ nhớ 64 gb này sài rất ok_nha mng à đáng mua nha,2
,2
,2
giao hàng nhanh bàn_phím đánh êm_nhạy tiếng ồn_ko to lắm rất vừa ý_nha,2
,2
tốt,2
,2
,2
,2
cáp sạc nhanh 30 p lên 50 có đèn_độ bền_chờ thời_gian sử_dụng mới đánh_giá được,2
,2
chuột nhạy nhưng có_vẻ mk chưa quen nên hơi lạ_tay đc cái tiki ship nhanh về âm_thanh thì nhỏ nếu ko để_ý thì dường_như ko nghe thấy luôn ban_đầu mk đọc nhận_xét cx hơi lo nhưng mua về thì ưng_ý lắm,2
,2
,2
chuột dùng ok cute nhưng màu hơi khác so với hình_ảnh,2
,2
pin xài tốt,2
ipad air 4 màn_hình 10 9 inch_shop lại gửi mình 10 2 inch shop nên sửa lại phần mô_tả cho khách_hàng dễ nhận_biết hơn,1
,2
,2
do chiếc cũ pin kém rồi nên đổi sang chiếc này nhưng tiếc là pin nó không được nổi 2 ngày_ngày nào cũng phải sạc,1
bàn_phím mới mua về đã hỏng phím j k không dùng được lỡ mua online mất thời_gian chờ_đợi shop hướng_dẫn xử_lý đổi trả đi nhé,0
mình cần gấp may giao rất nhanh cả bluetoth cả receiver đều xài tốt dùng được trên cả tablet của mình,2
đẹp cầm vừa tay không phát da tiếng_động mạnh khi bấm,2
kết_nối ổn_định lần trước mình mua cái bluetoth 4 0 mới dùng vài tháng đã hư xin phép trừ 1 vào đây do không chỉnh đánh_giá cũ được,2
,2
,2
chuột mượt êm,2
sạc pin vô nhanh không bị nóng,2
,2
,2
đã mua nhầm hàng đồ so đặt tên ko rõ_ràng sau đó đặt thêm sợi dây type c rồi lại sạc ko vào điện do cần gấp nên ko kịp giữ vỏ hộp để đòi bảo_hành quá thất_vọng đừng mong mua lại,0
,2
,2
,2
,2
chuột dùng tốt giao hàng hơi lâu,2
mình bán lại bàn_phím 380 trắng chuột m350 trắng combo 750 k có tách lẻ bạn nào mua zalo mình ạ,2
đã mua rất nhiều sản_phẩm trên tiki rất yên_tâm hàng chính hãng chất_lượng tốt giá_cả thì ok,2
,2
,2
sp chỉ đc cái hình_thức dùng bị nhảy lung_tung_loạn hết cả lên dùng thực_sự rất khó_chịu,0
,2
tốc_độ lúc nhanh lúc chậm k chơi game được,1
khá hài_lòng nghe vẫn bị delay một_chút,2
giao hàng nhanh sản_phẩm tốt,2
,2
,2
đóng_gói cẩn_thận âm_thanh tốt seler còn tặng kèm chai sữa tắm 5 sao cho seler và tiki,2
,2
,2
hàng xài ổn kết_nối rất nhanh,2
,2
tay nge hư 1 bên ạ f9,0
ok,2
,2
,2
hàng đúng như ảnh cáp dày rất ok cấm sạc nhanh và truyền dữ_liệu cũng nhanh,2
sản_phẩm k giống trên hình,0
,2
,2
,2
,2
,2
cáp nhanh hỏng mua 1 tuần là hỏng,0
giao hàng nhanh phím bấm êm_thiết_kế đẹp nhạy không có độ trễ khi bấm phím,2
chất_lượng âm_thanh tốt kết_nối dễ_dàng kiểu_dáng đẹp nhưng lắp vào tai hơi lỏng,2
,2
ok,2
cáp chắc_chắn đẹp_bền thì phải dùng thêm thời_gian mới iết,2
,2
mình mua 2 mù xanh đỏ hàng tốt miễn_chê đóng_gói cẩn_thận bao_bì sp đẹp hơi bị lãng_phí,2
